t,x,y,vd,xyd,nd,d,st
64,935.743,1129.33,0.260638,0.260638,6,5.77865,0
64,936.004,1129.34,0.261551,0.261551,6,5.79247,0
65,936.265,1129.35,0.262359,0.262359,6,5.80752,0
65,936.528,1129.37,0.263259,0.263259,6,5.82208,0
65,936.792,1129.38,0.264159,0.264159,6,5.83646,0
66,937.055,1129.4,0.264851,0.264851,6,5.85141,0
66,937.321,1129.41,0.265739,0.265739,6,5.86587,0
66,937.587,1129.43,0.266626,0.266626,6,5.88013,0
66,937.267,1129.41,0.253168,0.25317,6,5.86275,0
67,937.521,1129.42,0.254113,0.254113,6,5.8761,0
67,937.775,1129.44,0.255053,0.255053,6,5.8895,0
68,938.037,1129.45,0.261803,0.261802,6,5.90193,0
68,938.299,1129.47,0.262705,0.262705,6,5.91449,0
68,938.562,1129.49,0.263608,0.263608,6,5.9269,0
68,938.827,1129.5,0.265066,0.265066,6,5.93972,0
69,939.092,1129.52,0.265953,0.265952,6,5.95217,0
69,939.358,1129.54,0.266839,0.266839,6,5.96445,0
69,939.626,1129.55,0.268277,0.268276,6,5.9761,0
70,939.895,1129.57,0.269147,0.269147,6,5.98798,0
70,940.164,1129.59,0.270018,0.270018,6,5.99968,0
70,940.435,1129.6,0.271413,0.271413,6,6.01267,0
71,940.707,1129.62,0.272269,0.272269,6,6.0251,0
71,940.979,1129.64,0.273124,0.273123,6,6.03731,0
71,941.253,1129.66,0.274895,0.274895,6,6.04843,0
72,941.529,1129.68,0.275733,0.275733,6,6.05962,0
72,941.804,1129.7,0.276571,0.276571,6,6.07059,0
72,942.081,1129.72,0.277397,0.277397,6,6.07958,0
72,942.358,1129.74,0.278223,0.278223,6,6.0888,0
73,942.637,1129.76,0.279048,0.279048,6,6.09785,0
73,942.916,1129.78,0.280122,0.280121,6,6.10741,0
74,943.196,1129.8,0.280934,0.280934,6,6.11649,0
74,943.477,1129.82,0.281746,0.281746,6,6.12538,0
74,943.759,1129.85,0.282886,0.282885,6,6.13364,0
75,944.042,1129.87,0.283684,0.283684,6,6.1421,0
75,944.325,1129.89,0.284483,0.284483,6,6.15037,0
75,944.61,1129.91,0.285719,0.285719,6,6.15989,0
75,944.896,1129.94,0.286504,0.286504,6,6.16885,0
76,945.182,1129.96,0.287288,0.287288,6,6.17758,0
76,945.47,1129.98,0.288265,0.288265,6,6.18524,0
77,945.758,1130.01,0.289037,0.289037,6,6.1929,0
77,946.047,1130.03,0.289809,0.289809,6,6.20035,0
77,946.336,1130.06,0.290717,0.290717,6,6.20566,0
77,946.626,1130.08,0.291477,0.291477,6,6.2113,0
78,946.918,1130.11,0.292237,0.292237,6,6.21675,0
78,947.209,1130.14,0.293059,0.293059,6,6.22274,0
78,947.502,1130.16,0.293807,0.293807,6,6.22822,0
79,947.795,1130.19,0.294556,0.294556,6,6.23348,0
79,948.089,1130.22,0.295298,0.295298,6,6.23808,0
79,948.384,1130.24,0.296035,0.296035,6,6.24287,0
80,948.68,1130.27,0.296773,0.296773,6,6.24745,0
80,948.975,1130.3,0.297426,0.297426,6,6.25327,0
80,949.272,1130.33,0.298157,0.298157,6,6.25851,0
81,949.569,1130.35,0.298719,0.298719,6,6.26392,0
81,949.867,1130.38,0.29944,0.29944,6,6.26896,0
81,950.166,1130.41,0.300161,0.300161,6,6.27375,0
82,949.997,1130.39,0.289238,0.289187,6,6.27069,0
82,950.286,1130.42,0.289992,0.29,6,6.27522,0
82,950.575,1130.45,0.290755,0.290763,6,6.27954,0
83,950.865,1130.47,0.291518,0.291527,6,6.28361,0
83,951.161,1130.5,0.296977,0.296977,6,6.2887,0
83,951.457,1130.53,0.297709,0.297709,6,6.29326,0
84,951.755,1130.56,0.298897,0.298897,6,6.29756,0
84,952.053,1130.59,0.299614,0.299614,6,6.30122,0
84,952.352,1130.62,0.30033,0.30033,6,6.30459,0
85,952.652,1130.65,0.301046,0.301046,6,6.30766,0
85,952.952,1130.68,0.302207,0.302207,6,6.30958,0
85,953.254,1130.71,0.302911,0.302911,6,6.31161,0
86,953.556,1130.74,0.303614,0.303614,6,6.31336,0
86,953.859,1130.77,0.304742,0.304742,6,6.31503,0
86,954.163,1130.8,0.305433,0.305433,6,6.31656,0
87,954.467,1130.83,0.306124,0.306124,6,6.31779,0
87,954.773,1130.87,0.307556,0.307555,6,6.3191,0
87,955.079,1130.9,0.308233,0.308233,6,6.31995,0
88,955.386,1130.93,0.30891,0.30891,6,6.32049,0
88,955.694,1130.97,0.309583,0.309583,6,6.32105,0
88,956.003,1131,0.310247,0.310247,6,6.32119,0
89,956.312,1131.03,0.310911,0.310911,6,6.32099,0
89,956.621,1131.07,0.311575,0.311574,6,6.32045,0
89,956.932,1131.1,0.312435,0.312435,6,6.32041,0
90,957.243,1131.14,0.313091,0.313091,6,6.31968,0
90,957.555,1131.17,0.314012,0.314011,6,6.31839,0
90,957.868,1131.21,0.314657,0.314657,6,6.31659,0
91,958.181,1131.24,0.315302,0.315302,6,6.31444,0
91,958.495,1131.28,0.316307,0.316307,6,6.31255,0
